statistic_label,month,property_type,unit,value
Residential Property Price Index,2006 June,National excluding Dublin - houses,Base 2015=100,164.0
Residential Property Price Index,2006 June,National excluding Dublin - apartments,Base 2015=100,220.2
Residential Property Price Index,2006 June,Border - houses,Base 2015=100,
Residential Property Price Index,2006 June,Midland - houses,Base 2015=100,
Residential Property Price Index,2006 June,West - houses,Base 2015=100,
Residential Property Price Index,2006 June,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2006 June,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2006 June,South-East - houses,Base 2015=100,
Residential Property Price Index,2006 June,South-West - houses,Base 2015=100,
Residential Property Price Index,2006 July,National - all residential properties,Base 2015=100,153.7
Residential Property Price Index,2006 July,National - houses,Base 2015=100,149.7
Residential Property Price Index,2006 July,National - apartments,Base 2015=100,179.1
Residential Property Price Index,2006 July,Dublin - all residential properties,Base 2015=100,153.4
Residential Property Price Index,2006 July,Dublin - houses,Base 2015=100,148.6
Residential Property Price Index,2006 July,Dublin - apartments,Base 2015=100,172.0
Residential Property Price Index,2006 July,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2006 July,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2006 July,Fingal - houses,Base 2015=100,
Residential Property Price Index,2006 July,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2006 July,National excluding Dublin - all residential properties,Base 2015=100,169.7
Residential Property Price Index,2006 July,National excluding Dublin - houses,Base 2015=100,166.8
Residential Property Price Index,2006 July,National excluding Dublin - apartments,Base 2015=100,223.2
Residential Property Price Index,2006 July,Border - houses,Base 2015=100,
Residential Property Price Index,2006 July,Midland - houses,Base 2015=100,
Residential Property Price Index,2006 July,West - houses,Base 2015=100,
Residential Property Price Index,2006 July,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2006 July,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2006 July,South-East - houses,Base 2015=100,
Residential Property Price Index,2006 July,South-West - houses,Base 2015=100,
Residential Property Price Index,2006 August,National - all residential properties,Base 2015=100,157.1
Residential Property Price Index,2006 August,National - houses,Base 2015=100,153.0
Residential Property Price Index,2006 August,National - apartments,Base 2015=100,182.5
Residential Property Price Index,2006 August,Dublin - all residential properties,Base 2015=100,157.9
Residential Property Price Index,2006 August,Dublin - houses,Base 2015=100,152.9
Residential Property Price Index,2006 August,Dublin - apartments,Base 2015=100,176.7
Residential Property Price Index,2006 August,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2006 August,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2006 August,Fingal - houses,Base 2015=100,
Residential Property Price Index,2006 August,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2006 August,National excluding Dublin - all residential properties,Base 2015=100,172.8
Residential Property Price Index,2006 August,National excluding Dublin - houses,Base 2015=100,169.9
Residential Property Price Index,2006 August,National excluding Dublin - apartments,Base 2015=100,225.7
Residential Property Price Index,2006 August,Border - houses,Base 2015=100,
Residential Property Price Index,2006 August,Midland - houses,Base 2015=100,
Residential Property Price Index,2006 August,West - houses,Base 2015=100,
Residential Property Price Index,2006 August,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2006 August,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2006 August,South-East - houses,Base 2015=100,
Residential Property Price Index,2006 August,South-West - houses,Base 2015=100,
Residential Property Price Index,2006 September,National - all residential properties,Base 2015=100,158.4
Residential Property Price Index,2006 September,National - houses,Base 2015=100,154.1
Residential Property Price Index,2006 September,National - apartments,Base 2015=100,185.5
